variant_key,file,total_points,-15C,-7C,+2C,+7C,+12C,TOL
Airwell_Residential_S_A_S__Wellea_A_18_22_26_30_kW_Outdoor_Air_Water_6::AW-WHPMA18-H93,Airwell_Residential_S_A_S__Wellea_A_18_22_26_30_kW_Outdoor_Air_Water_6.json,24,2,4,6,6,6,0
Airwell_Residential_S_A_S__Wellea_A_18_22_26_30_kW_Outdoor_Air_Water_6::AW-WHPMA22-H93,Airwell_Residential_S_A_S__Wellea_A_18_22_26_30_kW_Outdoor_Air_Water_6.json,24,2,4,6,6,6,0
Airwell_Residential_S_A_S__Wellea_A_18_22_26_30_kW_Outdoor_Air_Water_6::AW-WHPMA26-H93,Airwell_Residential_S_A_S__Wellea_A_18_22_26_30_kW_Outdoor_Air_Water_6.json,24,2,4,6,6,6,0
Airwell_Residential_S_A_S__Wellea_A_18_22_26_30_kW_Outdoor_Air_Water_6::AW-WHPMA30-H93,Airwell_Residential_S_A_S__Wellea_A_18_22_26_30_kW_Outdoor_Air_Water_6.json,24,2,4,6,6,6,0
Airwell_Residential_S_A_S__Wellea_A_4_6_kW_Outdoor_Air_Water_7::AW-WHPMA04-H91,Airwell_Residential_S_A_S__Wellea_A_4_6_kW_Outdoor_Air_Water_7.json,24,2,4,6,6,6,0
Airwell_Residential_S_A_S__Wellea_A_4_6_kW_Outdoor_Air_Water_7::AW-WHPMA06-H91,Airwell_Residential_S_A_S__Wellea_A_4_6_kW_Outdoor_Air_Water_7.json,24,2,4,6,6,6,0
Airwell_Residential_S_A_S__Wellea_A_4_6_kW_Outdoor_Air_Water_7::AW-YHPSA04-H91 + AW-WHPSA0406-N91,Airwell_Residential_S_A_S__Wellea_A_4_6_kW_Outdoor_Air_Water_7.json,24,2,4,6,6,6,0
Airwell_Residential_S_A_S__Wellea_A_4_6_kW_Outdoor_Air_Water_7::AW-YHPSA06-H91 + AW-WHPSA0406- N91,Airwell_Residential_S_A_S__Wellea_A_4_6_kW_Outdoor_Air_Water_7.json,24,2,4,6,6,6,0
Airwell_Residential_S_A_S__Wellea_A_8_10_kW_Outdoor_Air_Water_8::AW-WHPMA08-H91,Airwell_Residential_S_A_S__Wellea_A_8_10_kW_Outdoor_Air_Water_8.json,24,2,4,6,6,6,0
Airwell_Residential_S_A_S__Wellea_A_8_10_kW_Outdoor_Air_Water_8::AW-WHPMA10-H91,Airwell_Residential_S_A_S__Wellea_A_8_10_kW_Outdoor_Air_Water_8.json,24,2,4,6,6,6,0
Airwell_Residential_S_A_S__Wellea_A_8_10_kW_Outdoor_Air_Water_8::AW-YHPSA08-H91 + AW-WHPSA0810-N91,Airwell_Residential_S_A_S__Wellea_A_8_10_kW_Outdoor_Air_Water_8.json,24,2,4,6,6,6,0
